ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
0,2081558133,3.7084152698516846,0.07927521423206063,0.756911136103505,0.2195066529165367,0.9640024041284185,0.7552576936278866,0.5956637740432994,0.0,0.0,0.5956637740432994,14.0,10.0
1,1497058120,3.4446771144866943,0.07342939042149502,0.6768177239334829,0.14925491444429562,0.962275126180555,0.8320899630763883,0.5549318027056497,0.0,0.0,0.5549318027056497,13.0,11.0
2,729400634,3.728442430496216,0.07724619518816461,0.8370675968877702,0.19966487777112424,0.9640213500366768,0.7819755054713547,0.5556756923774353,0.0,0.0,0.5556756923774353,13.0,11.0
3,1763909319,3.417994976043701,0.0803121036420293,0.6842432114678536,0.17339501817420824,0.9622449003458765,0.804562455255832,0.43682733293006953,0.0,0.0,0.43682733293006953,10.0,14.0
4,1489933983,3.766096353530884,0.07065142599301093,0.7521000666601233,0.14936130301762218,0.9560175482500154,0.8231079610319552,0.5552018944323325,0.0,0.0,0.5552018944323325,13.0,11.0
5,2020945875,3.8216867446899414,0.07143978150212682,0.7009406411479597,0.19311963430525658,0.9621662194784559,0.7823861297053429,0.47632160577163934,0.0,0.0,0.47632160577163934,11.0,13.0
6,453741709,3.5830326080322266,0.08129554128680747,0.7384775878824245,0.18983368550352087,0.9576930337128026,0.7936789966632262,0.43622300104116946,0.0,0.0,0.43622300104116946,10.0,14.0
7,811108630,3.3540329933166504,0.06683735878369762,0.7317547694539874,0.14329931686796396,0.9664464894819323,0.8296651959532452,0.556882268722442,0.0,0.0,0.556882268722442,13.0,11.0
8,1299892732,3.715839385986328,0.07306528389428543,0.6591914211702817,0.1854059167559513,0.9536288000628889,0.7950037830916377,0.6327065475628882,0.0,0.0,0.6327065475628882,15.0,9.0
9,1657653389,3.5568954944610596,0.07219850651052276,0.7290682820838285,0.1807358539402448,0.9579246859568668,0.8069526210474901,0.4358797786955597,0.0,0.0,0.4358797786955597,10.0,14.0
10,1522912140,3.6385209560394287,0.08094294114286922,0.5871336252490245,0.14058905580215672,0.9539468569392003,0.8358644068128873,0.4763342449752386,0.0,0.0,0.4763342449752386,11.0,13.0
11,1682934762,3.5793066024780273,0.0811563685117077,0.6753417644857813,0.17199029034625535,0.9497552608117402,0.8026380607378778,0.5155615755106352,0.0,0.0,0.5155615755106352,12.0,12.0
