ID,Seed,LnL,Probability,Message,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
1439,1086712531,-10.369415110378275,0.0430173283909544,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04487577877411655,0.0456067744201635,0.9543932255798365,"[0.11118143702883977, 0.0070407957617358305, 0.5294725594896376, 0, 0.3523052077197869, 0, 0, 0]",0.11118143702883977,0.0070407957617358305,0.5294725594896376,0,0.3523052077197869,0,0,0,1.9055958794479602,1,0.931779862231417,0.9569911845901631,0.911280777886451,0.9555435754383457,0.9247129125892531,0.8488737438460461,0.7293084306519065,-3.9971285513256474,-3.2083844733620817,-4.292445354629724,0.6014704418844774,4.046275485942982,2.12613174717952,0.006367751852251911,0.016672972146058868,1500,0.9551242212258835,0.00010066336608165855,0.0006188929373155747,5.099817623068828e-05,0.24714085916148404,0.470337739571679,157.04129545286176,59.977308858899434,1.9055958794479602,1.7755958660207762,1.823638458023037,1.7365328953605528,1.8208798999882825,1.7621291159024026,1.6176103084445888,1.3897671402969316,26552453.35007956,1247546.6499204398,6325.843375392164,400.59718975670995,30125.17711954608,0.0,20044.96095685723,0.0,0.0,0.0,132378.18592327723,8383.123975570856,630416.540696552,0.0,419472.2206834876,0.0,0.0,0.0
1097,1984980876,-10.43187978408566,0.04041246781524688,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04546950955473643,0.003844777133481231,0.9961552228665188,"[0.13159004083447712, 0.004736000999029569, 0.509636652089338, 0, 0.3540373060771551, 0, 0, 0]",0.13159004083447712,0.004736000999029569,0.509636652089338,0,0.3540373060771551,0,0,0,2.186434311096519,1,0.9794351055630502,0.9347668867851804,0.906290047755034,0.8556978480733202,0.890670686724016,0.8708523707323014,0.7599759904616632,-3.8625484137186112,-3.9584472761661296,-4.787200945391053,0.5406147367332872,2.415048727474118,1.9285741040457145,0.01588124876738729,0.033855902195635675,1500,0.9545304904452636,0.00013723079721069653,0.00011004054276317223,1.632296519561311e-05,0.4140703202481106,0.5185177991876097,62.967340581776895,29.536947331118792,2.186434311096519,2.1414705202954942,2.0438063941439935,1.981543656216909,1.8709271349589636,1.9473929493412874,1.9040615032688497,1.6616375811549413,26535947.634378325,1264052.3656216725,639.5275498810773,23.01696310706027,2476.833941029489,0.0,1720.621176847435,0.0,0.0,0.0,165697.17485919222,5963.536303302871,641730.5817400075,0.0,445801.07308830466,0.0,0.0,0.0
530,1953654075,-10.627143659823616,0.03324400569192535,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04832978154455963,0.012334381340946155,0.9876656186590539,"[0.11610399594328388, 0.0061318905998917666, 0.5621390154793011, 0, 0.31562509797752347, 0, 0, 0]",0.11610399594328388,0.0061318905998917666,0.5621390154793011,0,0.31562509797752347,0,0,0,1.9606189435646175,1,0.9502706111524675,0.9269069646546109,0.9487023216681988,0.848473279318536,0.9616697216986676,0.8478345304357009,0.8770571211669291,-3.8707319358724073,-3.164596026987767,-4.033597928297169,0.6091363109633995,4.279761904817073,2.0865681971772623,0.006420828289757721,0.025699510352061306,1500,0.9516702184554404,0.00013466913299551748,0.0006845481057119548,9.255546599004347e-05,0.23365785813328843,0.4792558428489486,155.74314634689185,38.91124719112759,1.9606189435646175,1.8631185617382542,1.8173113538238095,1.860043743666404,1.6635327845403147,1.8854678738149213,1.6622804413804475,1.7195748063481293,26456432.07306124,1343567.9269387575,1924.084612531231,101.6181764729272,9315.81226812844,0.0,5230.5641111945215,0.0,0.0,0.0,154069.52052629262,8136.9933650389075,745956.1394107903,0.0,418833.19446830894,0.0,0.0,0.0
1588,261253038,-10.659448801491118,0.032187215168148,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.043288875384818556,0.047474235030693306,0.9525257649693067,"[0.1234641410069496, 0.006484859637861433, 0.4978655800695531, 0, 0.3721854192856358, 0, 0, 0]",0.1234641410069496,0.006484859637861433,0.4978655800695531,0,0.3721854192856358,0,0,0,2.224180675525986,1,0.9614311249143195,0.9671334865994944,0.9855484334551332,0.8826180439403768,0.8760097189140692,0.8849647867706097,0.9777180851068387,-4.27741144169443,-3.7776354390439435,-3.450740173937574,0.5438577791225268,2.1299085710806893,2.064411744362558,0.009925253788695472,0.037423389654135296,1500,0.9567111246151815,5.279448506426302e-05,0.00016686473418266016,0.00035420919101107325,0.4695037212290349,0.4843994918798413,100.75309118432479,26.721256659055726,2.224180675525986,2.1383965288836397,2.1510796115486652,2.192037780485815,1.9631019972027315,1.9484038883816235,1.9683215772561649,2.1746216710069017,26596569.26430204,1203430.7356979558,7053.747573999358,370.4926998659203,28444.033214435265,0.0,21263.680101384365,0.0,0.0,0.0,141526.79447031015,7433.586705023644,570702.7080873566,0.0,426635.6928455805,0.0,0.0,0.0
1545,540090028,-10.837940497189003,0.026925603409461655,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04501266841973795,0.00211478264586078,0.9978852173541393,"[0.13150740128130797, 0.003355561187150226, 0.502761215391986, 0, 0.36237582213955566, 0, 0, 0]",0.13150740128130797,0.003355561187150226,0.502761215391986,0,0.36237582213955566,0,0,0,1.8628616632760417,1,0.9585928965223822,0.9293732128648506,0.925155669335695,0.8260868668713912,0.8906646064607551,0.9230385980965491,0.941367263327127,-4.778705005881603,-3.7132666195074453,-4.413902274948747,0.5698908176304576,4.902367323548334,1.9461261243114558,0.009097924965304477,0.008035083736631296,1500,0.954987331580262,1.66454290566753e-05,0.0001935233532027797,3.855651078606384e-05,0.2039830828662182,0.5138413114688558,109.91517338443265,124.45421015851782,1.8628616632760417,1.7857259576202835,1.7312937291216144,1.7234370289679526,1.5388855548305338,1.6591849502125833,1.7194932181181233,1.7536369859151872,26548647.817931283,1251352.1820687149,348.013017313685,8.879948673176505,1330.4760481319759,0.0,958.9688643801001,0.0,0.0,0.0,164214.06053423716,4190.108864932346,627800.8678921489,0.0,452500.8068988974,0.0,0.0,0.0
954,869095512,-10.853658706984774,0.02650568991574668,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05212738995945579,0.004655385978979404,0.9953446140210206,"[0.08723704080635479, 0.004229796295268677, 0.5361070206009892, 0, 0.37242614229738713, 0, 0, 0]",0.08723704080635479,0.004229796295268677,0.5361070206009892,0,0.37242614229738713,0,0,0,1.6726140527714703,1,0.9753376940470883,0.9361802199697843,0.956600815675524,0.9498933447937037,0.9133142056732274,0.9582681733863079,0.9181667595452798,-4.990241829221183,-4.1086698619854465,-4.248665450958583,0.5760345948383165,3.985484995301325,2.356985708500355,0.008647043932570962,0.015735476512115078,1500,0.9478726100405442,1.0227233482419854e-05,7.786282166174095e-05,5.640720087642825e-05,0.2509104917416442,0.4242707099977519,115.64645765627299,63.550665226444124,1.6726140527714703,1.6313635332608807,1.5658681918481474,1.6000239671915326,1.5888049571360443,1.527622175004853,1.6028128131295865,1.5357386248030787,26350858.559127126,1449141.4408728706,588.5283602626795,28.53552865720651,3616.745625977573,0.0,2512.503230500113,0.0,0.0,0.0,125830.2826513437,6101.037569267173,773278.1546698017,0.0,537185.6532370602,0.0,0.0,0.0
400,2028400409,-10.920936084129997,0.024781119347792747,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04779389312383082,0.003269020280696955,0.996730979719303,"[0.10060594939111638, 0.004544956260316799, 0.5240293006893647, 0, 0.3708197936592021, 0, 0, 0]",0.10060594939111638,0.004544956260316799,0.5240293006893647,0,0.3708197936592021,0,0,0,1.7076840475419375,1,0.9459072720703732,0.9722440073189708,0.9627682709982883,0.9776293610644569,0.8334376823439213,0.9677278415474536,0.8546494144948454,-4.740123598408406,-3.823072858040466,-4.067259250855191,0.5957937059781355,3.897596001106048,2.4062496250591843,0.027765005651053044,0.037790724387360454,1500,0.9522061068761691,1.8191830529786064e-05,0.00015028898173822502,8.565263915979365e-05,0.25656840773549205,0.41558448034060635,36.01656029059994,26.46151975680206,1.7076840475419375,1.6153107589684876,1.6602855816168531,1.64410401786331,1.6694820642983899,1.4232482347590392,1.6525733973727783,1.4594711713739046,26471329.7711575,1328670.2288424966,436.97690328150014,19.740789925476037,2276.0950264858657,0.0,1610.637204751544,0.0,0.0,0.0,133235.15289712974,6019.007284548783,693986.0358406259,0.0,491086.5828957479,0.0,0.0,0.0
1319,769024199,-11.07850563639503,0.02116846330831085,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04939876139181255,0.03256356366235368,0.9674364363376463,"[0.11584893123447335, 0.001463929072518692, 0.5204840917893189, 0, 0.362203047903689, 0, 0, 0]",0.11584893123447335,0.001463929072518692,0.5204840917893189,0,0.362203047903689,0,0,0,1.6884729762373112,1,0.9077822796249476,0.9688884912803913,0.9941883964324019,0.9843026149490992,0.961382868308958,0.8928909585249484,0.956963425630344,-3.1647848106594783,-3.3316021311378528,-3.258435097670643,0.5770647745483481,3.459211911853837,2.4869160130511903,0.02641316384465015,0.026685194253408838,1500,0.9506012386081875,0.0006842506038406193,0.000466012824912807,0.0005515246177918886,0.289083185847405,0.4021044517595521,37.85990977383593,37.47396367078187,1.6884729762373112,1.5327658474538264,1.6359420345142806,1.6786602406648174,1.6619683657812736,1.6232689929571893,1.5076222541960052,1.6158068834243198,26426714.433307607,1373285.5666923886,5180.65669440002,65.46554956403394,23275.565563911412,0.0,16197.38416970358,0.0,0.0,0.0,153913.00848664128,1944.927116387261,691497.7253833566,0.0,481210.8337284244,0.0,0.0,0.0
537,745834900,-11.093907052747742,0.020844936769925583,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.053452501112695824,0.04963523314744452,0.9503647668525554,"[0.13516758264575593, 0.0042232488131085395, 0.5305793182911239, 0, 0.3300298502500115, 0, 0, 0]",0.13516758264575593,0.0042232488131085395,0.5305793182911239,0,0.3300298502500115,0,0,0,1.7884128976828868,1,0.9133318132888092,0.9188765279249879,0.9264778430047398,0.9532416958081779,0.9598777656345658,0.9962811309565582,0.8884954063732624,-4.7247227170842185,-4.922632185435659,-3.878306163491106,0.5823221606470386,4.684201468551867,2.0057489363127505,0.00880402824720297,0.03203699913610547,1500,0.9465474988873042,1.884852122238499e-05,1.1949997503763629e-05,0.0001323408246473605,0.21348355887629072,0.4985668853641974,113.58436978183241,31.213909759513246,1.7884128976828868,1.6334143947498045,1.6433306339191176,1.6569249238470973,1.7047897433924524,1.7166577762598887,1.7817620243208019,1.5889966442899404,26314020.469067052,1485979.5309329438,9969.547346702091,311.4939112992341,39133.90719391079,0.0,24341.992018274803,0.0,0.0,0.0,190886.71371057822,5964.167379016904,749296.0993230545,0.0,466075.610050107,0.0,0.0,0.0
481,1062619740,-11.101691402470141,0.02068330241753041,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05041751248539755,0.04426011986298338,0.9557398801370166,"[0.12324880288397468, 0.004800556433360518, 0.5187503361922486, 0, 0.35320030449041634, 0, 0, 0]",0.12324880288397468,0.004800556433360518,0.5187503361922486,0,0.35320030449041634,0,0,0,1.7181467230540757,1,0.9741100309335703,0.914157704769329,0.9154090523033591,0.8591378273318468,0.832198387861138,0.892745761682305,0.9821130168146002,-4.694268633695154,-4.104263786449445,-4.054800363983995,0.5915508532854825,4.779430823864891,2.2943119042492848,0.021038314512905828,0.00698599219154236,1500,0.9495824875146024,2.021768223167088e-05,7.865678905160442e-05,8.814539656967107e-05,0.20922993487148103,0.43586052887922716,47.53232486312323,143.1435897123757,1.7181467230540757,1.673663957542618,1.5706570648040579,1.5728070634690534,1.476124842682011,1.429838933034499,1.533868204954867,1.6874142615087575,26398393.152905945,1401606.8470940518,7645.77486586582,297.8038963584182,32180.826014609895,0.0,21910.88227632683,0.0,0.0,0.0,165100.5911524582,6430.688870501083,694903.197124787,0.0,473137.08289314463,0.0,0.0,0.0
