ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
0,1136163917,2.286635637283325,0.16686430314594294,0.7505952911778361,0.15942591569624143,0.6842754461568361,0.7136691187643326,0.0,0.0,0.7136691187643326,24.0,0.0
1,600597301,2.6460180282592773,0.08404103799151626,0.6979709842658682,0.10218869109220416,0.7745556166196091,0.8039245705134177,0.0,0.0,0.8039245705134177,24.0,0.0
2,1975687421,2.4116387367248535,0.1837677783754997,0.7819176965414816,0.18339243889084528,0.6004447897222844,0.6286192259103722,0.0,0.0,0.6286192259103722,24.0,0.0
3,776696670,2.208510637283325,0.14194670243837446,0.8743989115585252,0.12365926414693572,0.7517478886221803,0.7777487561481046,0.0,0.0,0.7777487561481046,24.0,0.0
4,159306689,2.5366408824920654,0.19089102857752313,0.6492955698385079,0.16272250409383485,0.6089291598861206,0.6392628308364977,0.0,0.0,0.6392628308364977,24.0,0.0
5,2123974086,2.349137783050537,0.07548698640100523,0.796180799116529,0.2058706678087319,0.9224263762338366,0.9414852631895578,0.0,0.0,0.9414852631895578,24.0,0.0
6,874363302,2.552266836166382,0.10841811200260604,0.6026336630739011,0.1760306611493078,0.7548272415846465,0.7808153258535434,0.0,0.0,0.7808153258535434,24.0,0.0
7,1849364641,2.4116389751434326,0.1487742824692696,0.7199690244020125,0.12713130958120655,0.7218972047181365,0.7478535498642956,0.0,0.0,0.7478535498642956,24.0,0.0
8,831904039,2.4116384983062744,0.07804233072399253,0.8538010890174871,0.18102523948482763,0.946572431514719,0.9594228906354947,0.0,0.0,0.9594228906354947,24.0,0.0
9,1741905008,2.442889451980591,0.12069147633361257,0.7437186137901907,0.1743910846528573,0.7622725084580796,0.791737990643473,0.0,0.0,0.791737990643473,24.0,0.0
10,1906059605,2.3647620677948,0.21698256154488071,0.7482124511158859,0.25845803772005455,0.6406495557909209,0.6636612227184573,0.0,0.0,0.6636612227184573,24.0,0.0
11,738367469,2.5835156440734863,0.08212283483781795,0.7700217669766419,0.17281658634224886,0.7993224794813087,0.8222450247322146,0.0,0.0,0.8222450247322146,24.0,0.0
12,1779158809,2.208510160446167,0.2370854267090849,0.5538843651956589,0.10511398892794134,0.6453665426311685,0.6725722680600037,0.0,0.0,0.6725722680600037,24.0,0.0
13,1123771373,2.192885160446167,0.08818167802482262,0.7098397040537838,0.13031580923642944,0.888239562366133,0.9118778694535719,0.0,0.0,0.9118778694535719,24.0,0.0
14,569236946,2.5366415977478027,0.11246843173892658,0.7276680961759934,0.17231496461082343,0.7829277335568269,0.8103573985424037,0.0,0.0,0.8103573985424037,24.0,0.0
15,731251903,2.130385160446167,0.07734166580455622,0.7145855235759523,0.16582168328902427,0.959157243613923,0.9687596178769496,0.0,0.0,0.9687596178769496,24.0,0.0
