ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
0,2021041766,3.693842649459839,0.06782423234248781,0.6362266373396331,0.16524995469651693,0.9598234769694042,0.8327132267467262,0.43604966972470033,0.0,0.0,0.43604966972470033,10.0,14.0
1,1992340928,3.98875093460083,0.05708929084339763,0.6426297645857006,0.1453280425743396,0.9663530977712963,0.8553040899882938,0.594894824901012,0.0,0.0,0.594894824901012,14.0,10.0
2,465654247,3.828800678253174,0.07219908205019461,0.7760454630288338,0.16668615748368265,0.9581892902610177,0.8160751210917979,0.6333205199813228,0.0,0.0,0.6333205199813228,15.0,9.0
3,1136163917,3.7648205757141113,0.07255606943252797,0.8198062347905436,0.17889661575038074,0.9539951429120415,0.7990875691835823,0.5154176135060956,0.0,0.0,0.5154176135060956,12.0,12.0
4,600597301,3.6928439140319824,0.054438298480330716,0.6762499039458147,0.10286069364516277,0.9614175082437878,0.8714929454371843,0.5549479742722899,0.0,0.0,0.5549479742722899,13.0,11.0
5,2059112513,3.86978816986084,0.05663542829286739,0.7302978730715145,0.14723774591724711,0.9644597313733714,0.8435737894678708,0.5961644942054759,0.0,0.0,0.5961644942054759,14.0,10.0
6,79458643,3.6988420486450195,0.07888237537875906,0.742749575882064,0.11552046411582151,0.9586198318015035,0.8696326467270211,0.5156351528255105,0.0,0.0,0.5156351528255105,12.0,12.0
7,457495139,3.642857789993286,0.07894310484588217,0.8661696367758315,0.22081777963190619,0.9674848627789249,0.7678978353198366,0.5958421581003708,0.0,0.0,0.5958421581003708,14.0,10.0
8,769167530,3.647857904434204,0.08150661316641916,0.7440281657501504,0.2056855212977727,0.9517961119062722,0.7739151534066672,0.554685461757725,0.0,0.0,0.554685461757725,13.0,11.0
9,1975687421,3.647857189178467,0.05594768344382795,0.7299683502472601,0.21877612371242236,0.9368374013887683,0.7368578813172283,0.4348401749939629,0.0,0.0,0.4348401749939629,10.0,14.0
10,762041545,3.6798479557037354,0.05981963161574781,0.6382950590977883,0.25650266078626305,0.9592132270426884,0.7505296564092155,0.47605022947250897,0.0,0.0,0.47605022947250897,11.0,13.0
